"att1_1","att2_1","att3_1","concern1_1","concern2_1","concern3_1","Q94_First.Click","Q94_Last.Click","Q94_Page.Submit","Q94_Click.Count","att1P_1","att2P_1","att3P_1","concern1P_1","concern2P_1","concern3P_1","persuasive","detact","age","education","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","Condition","Label","Fake","belief_org","belief_final","belief_change","Bonus","Pro","Change_in_Direction","Male"
-50,-20,-20,-40,-40,-20,"0","0","256.563","0",-50,-20,-20,-40,-40,-20,4,0,29,"Associate degree in college (2-year)","Yes","White",NA,"Conservative",NA,3,"6775ada7943a69f68836b4b8","Pro_org","0","0",-31.6666666666667,-31.6666666666667,0,0.3,"1",0,1
100,100,-48,-51,-66,-56,"0","0","238.081","0",100,100,-48,-51,-66,-56,1,1,51,"Master's degree","No","White",NA,"Conservative",NA,3,"63d97783964f31dddcf64d54","Pro_none","0","1",-3.5,-3.5,0,0.3,"1",0,0
100,100,100,100,100,100,"193.647","193.647","234.791","1",100,100,100,100,100,100,1,1,47,"Associate degree in college (2-year)","No","White",NA,"Slightly Liberal",NA,2,"6779b9456a182ae3bba612ce","Anti_none","0","1",100,100,0,0.2,"0",0,1
100,100,100,100,100,100,"0","0","288.035","0",100,100,100,100,100,100,1,0,48,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"662ae95388403e308b37514d","Anti_org","0","0",100,100,0,0.2,"0",0,0
40,39,39,-39,-36,24,"188.3","188.3","414.874","1",58,50,56,-34,-55,-46,4,1,24,"Master's degree","No","Black or African American",NA,"Conservative",NA,2,"678b852767bd554899a52d44","Pro_label","1","1",11.1666666666667,4.83333333333333,-6.33333333333333,0.2,"1",-6.33333333333333,1
100,100,100,100,100,100,"0","0","254.205","0",100,100,100,100,100,100,4,1,48,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Extremely Liberal",NA,2,"5a69794e31b87a0001c76690","Pro_org","0","0",100,100,0,0.2,"1",0,1
20,-14,19,18,25,8,"0","0","239","0",20,-14,19,32,25,4,2,1,51,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,1,"66b40db72c9acdc45a046240","Anti_none","0","1",12.6666666666667,14.3333333333333,1.66666666666667,0.1,"0",-1.66666666666667,0
73,19,-22,-71,-39,-79,"49.729","49.729","272.679","1",73,19,-22,-71,-39,-79,1,1,26,"Master's degree","Yes","White,American Indian or Alaska Native",NA,"Extremely Conservative",NA,2,"663b570db0a2eae554750fd1","Pro_none","0","1",-19.8333333333333,-19.8333333333333,0,0.2,"1",0,1
18,0,-17,0,-68,-16,"0","0","262.691","0",18,0,-17,0,-68,-16,4,1,47,"Bachelor's degree in college (4-year)","No","Asian",NA,"Slightly Liberal",NA,2,"6522aadcbe0048650e980280","Anti_label","1","1",-13.8333333333333,-13.8333333333333,0,0.2,"0",0,0
100,100,89,60,58,-35,"242.199","242.199","243.421","1",100,100,89,-71,-75,-39,4,0,27,"Bachelor's degree in college (4-year)","No","White",NA,"Moderate, Middle of Road",NA,3,"67254fcd428ad2813fcdcd94","Pro_none","0","1",62,17.3333333333333,-44.6666666666667,0.3,"1",-44.6666666666667,1
