"Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","detact","age","education","gender","gender_7_TEXT","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","att1","att2","att3","con1","con2","con3","attitude_score","attitude","Condition","video","belief_pre","belief_post","belief_change","attitude_direction","change_direction","change_in_opposite","video_direction","change_align_video","Video_choice","video_type"
17,-3,10,-65,-72,-3,"No","57","Master's degree","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"68452bee9acc38d5432243c6","-50","-47","-62","-50","72","47",-228,"Anti","none","pro",-38,27.33,65.33,-1,1,65.33,1,65.33,1,"Pro_Fake_none"
70,73,71,-65,-60,-62,"No","59","Master's degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,2,"65d942ce4ea2fe978c283416","68","71","69","-68","-47","-62",385,"Pro","none","pro",64.17,66.83,2.66,1,1,-2.66,1,2.66,0,"Pro_Real"
60,52,34,29,30,45,"No","55","Doctoral degree","Female",NA,"No","White",NA,"Extremely Liberal",NA,2,"6845f099685f7b871b5af94b","60","52","34","29","30","45",42,"Pro","label","pro",7,7,0,1,0,0,1,0,0,"Pro_Real"
97,97,100,-75,3,5,"No","58","Master's degree","Female",NA,"No","Black or African American",NA,"Extremely Liberal",NA,2,"6815f422db4a9b97288161d1","97","97","100","-75","3","5",361,"Pro","none","pro",60.17,60.17,0,1,0,0,1,0,0,"Pro_Real"
81,77,71,78,57,84,"Yes","44","Doctoral degree","Male",NA,"No","White",NA,"Extremely Liberal","Interesting ",0,"67ab317d4245c4e2b33e2753","48","46","90","47","80","63",-6,"Anti","none","pro",-1,1.67,2.67,-1,1,2.67,1,2.67,1,"Pro_Fake_none"
51,65,-15,-12,-45,-46,"No","73","Professional degree (JD, MD)","Male",NA,"No","White",NA,"Slightly Liberal",NA,2,"67c7e250b3d28dd21344b3ce","51","65","-25","2","-53","-46",188,"Pro","label","anti",31.33,34,2.67,1,1,-2.67,-1,-2.67,1,"Anti_Fake_label"
100,100,84,22,-20,-100,"No","19","High school graduate (high school diploma or equivalent including GED)","Male",NA,"No","Black or African American",NA,"Conservative",NA,3,"6840a76863d50f0092c95b08","100","-100","70","22","100","-100",48,"Pro","none","pro",8,63.67,55.67,1,1,-55.67,1,55.67,0,"Pro_Real"
44,53,56,46,20,23,"Yes","31","Master's degree","Female",NA,"Yes","White",NA,"Slightly Conservative",NA,1,"676c88c2b9d79c34a0d22490","44","53","56","-31","20","-38",202,"Pro","label","anti",33.67,10.67,-23,1,-1,23,-1,23,1,"Anti_Fake_label"
48,61,50,15,13,-10,"Yes","28","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Liberal",NA,1,"63d3f99eac52371a49e65825","40","59","48","50","-7","-10",114,"Pro","none","anti",19,23.5,4.5,1,1,-4.5,-1,-4.5,1,"Anti_Fake_none"
89,95,100,76,86,82,"No","38","Master's degree","Female",NA,"No","White",NA,"Extremely Conservative",NA,1,"682985bebb62d4ca65616356","61","87","100","76","86","82",4,"Pro","none","pro",0.67,6.67,6,1,1,-6,1,6,0,"Pro_Real"
90,85,90,-40,-30,-50,"No","35","Bachelor's degree in college (4-year)","Female",NA,"No","Asian",NA,"Liberal",NA,2,"65959a63cb30f7348aba06f0","81","85","90","-40","-18","-50",364,"Pro","none","pro",60.67,64.17,3.5,1,1,-3.5,1,3.5,0,"Pro_Real"
100,100,91,-76,-100,-100,"Yes","52","High school graduate (high school diploma or equivalent including GED)","Male",NA,"No","White",NA,"Liberal","There were some odd edits in the video which led me to believe parts were doctored",3,"558fd02cfdf99b39cb035e5d","100","100","80","-55","-100","-100",535,"Pro","label","pro",89.17,94.5,5.33,1,1,-5.33,1,5.33,0,"Pro_Real"
37,38,15,17,19,30,"No","53","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,0,"61112c05608ea60cb93f04f0","26","38","15","17","19","30",13,"Pro","label","pro",2.17,4,1.83,1,1,-1.83,1,1.83,0,"Pro_Real"
81,87,88,48,89,57,"Yes","24","Professional degree (JD, MD)","Female",NA,"No","Black or African American",NA,"Moderate, Middle of Road","Thank you for the opportunity to participate",2,"683243e422b52308fd6a2fa0","81","87","88","48","89","57",62,"Pro","none","anti",10.33,10.33,0,1,0,0,-1,0,1,"Anti_Fake_none"
0,0,-100,100,100,100,"Yes","65","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative","interesting study",2,"674f42d6c6a43b4c8d14823b","0","0","-100","100","100","100",-400,"Anti","none","anti",-66.67,-66.67,0,-1,0,0,-1,0,0,"Anti_Real"
92,90,81,-83,-61,-66,"No","47","Bachelor's degree in college (4-year)","Female",NA,"No","Black or African American",NA,"Extremely Liberal","Great study, thank you!",2,"66f578343a3ef5afed111fb9","75","75","25","-70","-30","-40",315,"Pro","none","pro",52.5,78.83,26.33,1,1,-26.33,1,26.33,0,"Pro_Real"
52,65,46,-56,-47,-42,"No","62","Associate degree in college (2-year)","Female",NA,"No","White",NA,"Conservative",NA,2,"682b611899c3afb6231e8a63","52","65","46","-56","-16","-42",277,"Pro","none","pro",46.17,51.33,5.16,1,1,-5.16,1,5.16,0,"Pro_Real"
13,-10,-7,10,5,7,"No","44","Doctoral degree","Male",NA,"No","White",NA,"Extremely Conservative",NA,2,"68473ccebd0201507ef69933","57","5","2","23","20","23",-2,"Anti","none","anti",-0.33,-4.33,-4,-1,-1,-4,-1,4,0,"Anti_Real"
55,55,38,-48,-8,-31,"No","22","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative",NA,3,"68464d6cc584e665766335f4","-14","-14","-30","48","61","54",-221,"Anti","none","pro",-36.83,39.17,76,-1,1,76,1,76,1,"Pro_Fake_none"
-100,0,-100,100,63,100,"Yes","42","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,2,"667dff584b72be8e8cf6b196","-100","1","-100","100","61","100",-460,"Anti","none","anti",-76.67,-77.17,-0.5,-1,-1,-0.5,-1,0.5,0,"Anti_Real"
100,95,99,2,92,100,"Yes","56","Master's degree","Male",NA,"No","White",NA,"Extremely Conservative",NA,2,"6820cd6852dc57f030e4f2d2","99","95","99","2","92","100",99,"Pro","label","pro",16.5,16.67,0.170000000000002,1,1,-0.170000000000002,1,0.170000000000002,0,"Pro_Real"
75,76,79,-53,-47,-34,"Yes","53","Some college but no degree","Female",NA,"No","White",NA,"Slightly Conservative",NA,2,"636d19c8d8a6c6ef4d37ff41","82","82","83","-71","-52","-36",406,"Pro","none","anti",67.67,60.67,-7,1,-1,7,-1,7,1,"Anti_Fake_none"
32,24,-39,-8,37,-41,"Yes","29","High school graduate (high school diploma or equivalent including GED)","Female",NA,"No","White",NA,"Liberal",NA,2,"6679c3727cd2878fc362869c","32","24","-20","-22","30","-27",55,"Pro","label","anti",9.17,4.83,-4.34,1,-1,4.34,-1,4.34,1,"Anti_Fake_label"
72,61,70,-28,-38,-29,"No","32","Master's degree","Female",NA,"No","American Indian or Alaska Native",NA,"Liberal",NA,2,"678aa80f603c484fc735e2e7","80","75","60","-30","-40","-24",309,"Pro","label","pro",51.5,49.67,-1.83,1,-1,1.83,1,-1.83,0,"Pro_Real"
100,100,72,55,9,15,"No","31","Master's degree","Female",NA,"No","Black or African American",NA,"Moderate, Middle of Road",NA,1,"67cf5470a1373ac0273a9225","30","37","40","35","7","9",56,"Pro","label","pro",9.33,32.17,22.84,1,1,-22.84,1,22.84,0,"Pro_Real"
61,64,50,-28,37,-42,"No","35","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,3,"67db2eee909560bc7b65e8b5","61","64","50","41","-38","-42",214,"Pro","none","pro",35.67,34.67,-1,1,-1,1,1,-1,0,"Pro_Real"
30,80,50,0,-99,10,"No","60","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Extremely Liberal",NA,3,"68275eca2905beeb84a955a1","30","80","50","0","-99","10",249,"Pro","none","pro",41.5,41.5,0,1,0,0,1,0,0,"Pro_Real"
100,80,80,75,61,73,"Yes","68","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Slightly Conservative","OK...his brow moved at awkward times. He slightly smiled at strange places. His eye movements, attempting to show him reading a script, seemed...of. And the grand error of all...He didn't know how to pronounce Microsoft!",2,"67f3c75aa0c8aab58399018d","100","90","90","50","50","73",107,"Pro","none","anti",17.83,8.5,-9.33,1,-1,9.33,-1,9.33,1,"Anti_Fake_none"
76,78,77,-23,-37,-20,"Yes","33","Some college but no degree","Female",NA,"Yes","Other:","Latino","Conservative","none",3,"6611dfa4198eb84743071561","67","69","74","-20","-38","-22",290,"Pro","none","pro",48.33,51.83,3.5,1,1,-3.5,1,3.5,0,"Pro_Real"
